Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1,1.0,16.0,32.0,524288,1898992,3217277.4,100.0
VASP,1,32.0,32.0,32.0,131072,672066,1345054.6,41.8
Unidentified,1,1.0,1.0,1.0,524288,599975,525039.0,16.3
cp2k,1,1.0,1.0,256.0,8192,13099,211574.6,6.6
CASTEP,1,16.0,16.0,16.0,12800,553681,144584.0,4.5
PDNS3D,3072,3200.0,3200.0,32000.0,32000,61,133345.4,4.1
Met Office UM,1,128.0,198.0,256.0,262144,4194,109105.1,3.4
Python,1,1.0,1.0,128.0,65536,6201,85656.7,2.7
NEMO,1,47.0,456.0,1224.0,15232,5598,74387.7,2.3
ChemShell,1,256.0,512.0,512.0,4096,819,68145.5,2.1
LAMMPS,1,128.0,256.0,256.0,8960,2369,66603.6,2.1
iIMB,128,2048.0,2304.0,3072.0,6912,234,47019.9,1.5
FHI aims,1,128.0,256.0,512.0,4096,18665,46392.8,1.4
ONETEP,1,4.0,4.0,128.0,1024,2769,42252.7,1.3
CRYSTAL,1,128.0,256.0,512.0,16384,281,40118.2,1.2
Nek5000,64,1280.0,2048.0,2560.0,7680,218,39170.4,1.2
SENGA,80,720.0,729.0,1440.0,16384,92,39136.1,1.2
OpenFOAM,1,256.0,512.0,512.0,5120,827,36752.9,1.1
Gromacs,1,1.0,32.0,128.0,8192,5254,32597.4,1.0
Nektar++,1,128.0,1024.0,8192.0,15360,134,28084.2,0.9
RMT,1,82.0,384.0,2048.0,20000,644,27628.9,0.9
CASINO,128,256.0,512.0,1024.0,1280,248,19296.3,0.6
GS2,32,128.0,128.0,128.0,8192,2006,9683.0,0.3
MITgcm,2,32.0,100.0,128.0,2000,6193,6082.4,0.2
NWChem,128,128.0,128.0,128.0,1024,295,5892.3,0.2
SIESTA,16,128.0,384.0,1920.0,5120,41,5462.9,0.2
Quantum Espresso,5,64.0,128.0,128.0,2048,1854,5228.2,0.2
Smilei,1024,2048.0,2048.0,2048.0,2048,95,4192.7,0.1
EPOCH,128,256.0,2048.0,8192.0,65536,474,3856.4,0.1
NAMD,128,256.0,512.0,512.0,1600,70,3031.4,0.1
TPLS,1,256.0,1024.0,7168.0,49152,71,2484.9,0.1
PRECISE,512,768.0,1024.0,1344.0,3072,28,2448.8,0.1
HYDRA,1,1.0,128.0,1024.0,5120,74,1659.9,0.1
HemeLB,128,128.0,128.0,160.0,1024,52,1578.4,0.0
CESM,64,160.0,384.0,512.0,2048,114,1384.6,0.0
SBLI,512,512.0,4096.0,4096.0,4096,21,1061.0,0.0
OSIRIS,1280,1280.0,1280.0,1280.0,1280,3,596.5,0.0
CPMD,128,128.0,128.0,128.0,512,94,551.2,0.0
WRF,72,512.0,512.0,512.0,2048,41,105.0,0.0
ptau3d,80,80.0,80.0,80.0,80,2,27.7,0.0
HANDE,1,1.0,1.0,1.0,1,19,3.5,0.0
Code_Saturne,128,128.0,128.0,128.0,128,7,0.6,0.0
Elk,16,16.0,16.0,16.0,16,1,0.0,0.0
CloverLeaf,128,128.0,128.0,128.0,128,1,0.0,0.0
FVCOM,1,1.0,1.0,1.8,2,6,0.0,0.0
UKRmol+,2,2.0,2.0,2.0,2,1,0.0,0.0
